freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,DOM,NR,I551,CH07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	631317 	: 	: 	: 	: 	: 	: 	: 	: 	: 	617478 	: 	656867 	634937 	630239 	670823 	742879 	657273 	671126 	: 	989695 	764760 	708724 	700698 	: 
A,DOM,NR,I551,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330896 	: 	: 	: 	: 	: 	: 	: 	: 	: 	543259 	: 	438104 	431992 	441137 	461609 	456572 	511239 	553143 	572196 	713176 	644440 	627243 	685428 	: 
A,DOM,NR,I551,CY0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330896 	: 	: 	: 	: 	: 	: 	: 	: 	: 	543259 	: 	438104 	431992 	441137 	461609 	456572 	511239 	553143 	572196 	713176 	644440 	627243 	685428 	: 
A,DOM,NR,I551,CY00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	330896 	: 	: 	: 	: 	: 	: 	: 	: 	: 	543259 	: 	438104 	431992 	441137 	461609 	456572 	511239 	553143 	572196 	713176 	644440 	627243 	685428 	: 
A,DOM,NR,I551,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3293198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4102084 	: 	5045667 	5052889 	5736436 	6297651 	6924041 	7455478 	7768037 	5368347 	6324084 	9125585 	9416062 	9290475 	9527073 
A,DOM,NR,I551,CZ0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3293198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4102084 	: 	5045667 	5052889 	5736436 	6297651 	6924041 	7455478 	7768037 	5368347 	6324084 	9125585 	9416062 	9290475 	9527073 
A,DOM,NR,I551,CZ01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	221713 	: 	: 	: 	: 	: 	: 	: 	: 	: 	616433 	: 	719773 	676061 	761504 	883859 	949356 	1063660 	1085545 	659803 	884583 	1381594 	1455105 	1442959 	1442850 
A,DOM,NR,I551,CZ02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	347876 	: 	: 	: 	: 	: 	: 	: 	: 	: 	362377 	: 	437085 	431763 	482078 	512357 	564753 	610604 	642777 	415245 	504073 	743758 	832760 	830953 	844191 
A,DOM,NR,I551,CZ03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	434502 	: 	: 	: 	: 	: 	: 	: 	: 	: 	547284 	: 	647243 	660471 	749862 	806367 	908880 	929080 	1011181 	751825 	839189 	1111492 	1175745 	1171861 	1191770 
A,DOM,NR,I551,CZ04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	342960 	: 	: 	: 	: 	: 	: 	: 	: 	: 	295197 	: 	382288 	384156 	462508 	532191 	582258 	634926 	670376 	533227 	668116 	846978 	863764 	858160 	879099 
A,DOM,NR,I551,CZ05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	751137 	: 	: 	: 	: 	: 	: 	: 	: 	: 	829040 	: 	979755 	958917 	1166614 	1248111 	1357706 	1437030 	1500041 	1122656 	1203372 	1797550 	1808037 	1788676 	1859604 
A,DOM,NR,I551,CZ06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	404412 	: 	: 	: 	: 	: 	: 	: 	: 	: 	652004 	: 	871851 	926337 	993628 	1082489 	1232211 	1327124 	1358029 	875368 	1096739 	1539406 	1567732 	1554577 	1587734 
A,DOM,NR,I551,CZ07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	398955 	: 	: 	: 	: 	: 	: 	: 	: 	: 	486504 	: 	624673 	627270 	701511 	770549 	814785 	893925 	939063 	630348 	697580 	1041045 	1036770 	1000803 	1050501 
A,DOM,NR,I551,CZ08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	391643 	: 	: 	: 	: 	: 	: 	: 	: 	: 	313245 	: 	382999 	387914 	418731 	461728 	514092 	559129 	561025 	379875 	430432 	663762 	676149 	642486 	671324 
A,DOM,NR,I551,DE	46756549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	70892363 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90793947 	: 	94618956 	97846589 	100982801 	104271185 	108215315 	111550875 	115243500 	61923485 	61620107 	100062034 	111203933 	113894811 	: 
A,DOM,NR,I551,DE1	7277582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9219142 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11062271 	: 	11417758 	11906047 	12319508 	12786029 	13197333 	13588383 	13984609 	7576931 	7733260 	12200424 	13795362 	14190236 	: 
A,DOM,NR,I551,DE11	1900375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2889792 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3509942 	: 	3685672 	3899304 	3989486 	4165197 	4270607 	4380359 	4550437 	2091774 	2053636 	3654776 	4268503 	4440460 	: 
